Dpse_gene,Dmel_gene,Type,Share_by_Dsub
LOC4802340,CG11902,Single copy gene,1
LOC4802344,CG31087,Single copy gene,1
LOC4802347,CG31099,Single copy gene,1
LOC4802357,CG11892,Single copy gene,1
LOC4802359,CG31102,Single copy gene,1
LOC4802360,CG10513,Single copy gene,1
LOC4802361,CG10514,Single copy gene,1
LOC4802362,CG31098,Single copy gene,1
LOC4802363,RIOK2,Single copy gene,1
LOC4802364,GlnRS,Single copy gene,1
LOC4802365,CG11858,Single copy gene,1
LOC4802366,CG10425,Single copy gene,1
LOC4802367,CG11857,Single copy gene,1
LOC4802368,CG14710,Single copy gene,1
LOC4802370,CG14711,Single copy gene,1
LOC4802371,CG6808,Single copy gene,1
LOC4802372,CG6813,Single copy gene,1
LOC4802373,CG14712,Single copy gene,1
LOC4802374,Csk,Single copy gene,1
LOC4802376,Elp1,Single copy gene,1
LOC4802377,CG42327,Single copy gene,1
LOC4802379,CG14715,Single copy gene,1
LOC4802380,CG8064,Single copy gene,1
LOC4802381,CG14312,Single copy gene,1
LOC4802382,eIF1A,Single copy gene,1
LOC4802383,CG7142,Single copy gene,1
LOC4802384,CG7655,Single copy gene,1
LOC4802386,CG31360,Single copy gene,1
LOC4802387,CG31249,Single copy gene,1
LOC4802388,CG3817,Single copy gene,1
LOC4802391,VhaPPA1-1,Single copy gene,1
LOC4802392,Sdr,Single copy gene,1
LOC4802393,CG14861,Single copy gene,1
LOC4802396,CG6974,Single copy gene,1
LOC4802397,CG6966,Single copy gene,1
LOC4802398,CG42788,Single copy gene,1
LOC4802400,CG6912,Single copy gene,1
LOC4802401,CG3984,Single copy gene,1
LOC4802402,CG3987,Single copy gene,1
LOC4802403,Mf,Single copy gene,1
LOC4802404,GlyS,Single copy gene,1
LOC4802406,CG6752,Single copy gene,1
LOC4802411,Mau2,Single copy gene,1
LOC4802412,CG6654,Single copy gene,1
LOC4802413,CG5116,Single copy gene,1
LOC4802414,Dhap-at,Single copy gene,1
LOC4802415,CG5112,Single copy gene,1
LOC4802418,CG4582,Single copy gene,1
LOC4802419,ymp,Single copy gene,1
LOC4802422,Npl4,Single copy gene,1
LOC4802423,Ssadh,Single copy gene,1
LOC4802424,Rheb,Single copy gene,1
LOC4802425,CG2931,Single copy gene,1
LOC4802427,CG12746,Single copy gene,1
LOC4802428,Pcmt,Single copy gene,1
LOC4802429,Snm1,Single copy gene,1
LOC4802431,CG2519,Single copy gene,1
LOC4802432,Itp-r83A,Single copy gene,1
LOC4802433,Nmdar1,Single copy gene,1
LOC4802434,NKCC,Single copy gene,1
LOC4802437,ksr,Single copy gene,1
LOC4802440,mRpL44,Single copy gene,1
LOC4802441,POLDIP2,Single copy gene,1
LOC4802442,RpL35A,Single copy gene,1
LOC4802443,PEK,Single copy gene,1
LOC4802444,CG14669,Single copy gene,1
LOC4802446,Orco,Single copy gene,1
LOC4802447,CG2663,Single copy gene,1
LOC4802448,Or83a,Single copy gene,1
LOC4802449,CG1172,Single copy gene,1
LOC4802450,CAHbeta,Single copy gene,1
LOC4802451,RagA-B,Single copy gene,1
LOC4802453,CG9427,Single copy gene,1
LOC4802454,CG8312,Single copy gene,1
LOC4802455,bocks,Single copy gene,1
LOC4802456,P58IPK,Single copy gene,1
LOC4802457,spartin,Single copy gene,1
LOC4802458,Karybeta3,Single copy gene,1
LOC4802459,rpk,Single copy gene,1
LOC4802460,Dlip2,Single copy gene,1
LOC4802461,rec,Single copy gene,1
LOC4802462,CG4576,Single copy gene,1
LOC4802463,alpha-Man-IIb,Single copy gene,1
LOC4802464,CG10405,Single copy gene,1
LOC4802465,CG14883,Single copy gene,1
LOC4802468,CSN5,Single copy gene,1
LOC4802470,Dhfr,Single copy gene,1
LOC4802475,kkv,Single copy gene,1
LOC4802478,hd,Single copy gene,1
LOC4802479,RpII18,Single copy gene,1
LOC4802481,Cerk,Single copy gene,1
LOC4802482,Prosbeta7,Single copy gene,1
LOC4802483,CG1161,Single copy gene,1
LOC4802484,CG11999,Single copy gene,1
LOC4802487,Hph,Single copy gene,1
LOC4802489,CG12173,Single copy gene,1
LOC4802490,CG1113,Single copy gene,1
LOC4802492,rtp,Single copy gene,1
LOC4802494,Kat60,Single copy gene,1
LOC4802495,Vps37B,Single copy gene,1
LOC4802496,CG1116,Single copy gene,1
LOC4802497,cno,Single copy gene,1
LOC4802499,dpr16,Single copy gene,1
LOC4802500,CG12590,Single copy gene,1
LOC4802501,CG12007,Single copy gene,1
LOC4802503,plh,Single copy gene,1
LOC4802504,CG14662,Single copy gene,1
LOC4802505,CG1124,Single copy gene,1
LOC4802506,CG2016,Single copy gene,1
LOC4802507,CG14661,Single copy gene,1
LOC4802508,Ubc6,Single copy gene,1
LOC4802512,opa,Single copy gene,1
LOC4802513,CG14659,Single copy gene,1
LOC4802514,CG14658,Single copy gene,1
LOC4802515,CG14657,Single copy gene,1
LOC4802516,BBS5,Single copy gene,1
LOC4802517,CG1129,Single copy gene,1
LOC4802518,Hus1-like,Single copy gene,1
LOC4802521,ctrip,Single copy gene,1
LOC4802523,CG17387,Single copy gene,1
LOC4802524,CG14655,Single copy gene,1
LOC4802525,atms,Single copy gene,1
LOC4802527,CG44098,Single copy gene,1
LOC4802530,CG8176,Single copy gene,1
LOC4802531,JHDM2,Single copy gene,1
LOC4802533,Rlb1,Single copy gene,1
LOC4802534,Ras85D,Single copy gene,1
LOC4802535,RhoL,Single copy gene,1
LOC4802536,rump,Single copy gene,1
LOC4802537,CG8149,Single copy gene,1
LOC4802538,Syx18,Single copy gene,1
LOC4802539,mld,Single copy gene,1
LOC4802542,CG9590,Single copy gene,1
LOC4802543,Uros2,Single copy gene,1
LOC4802545,nsl1,Single copy gene,1
LOC4802547,Pak3,Single copy gene,1
LOC4802548,CG14882,Single copy gene,1
LOC4802549,CG14894,Single copy gene,1
LOC4802550,ema,Single copy gene,1
LOC4802551,mRpS33,Single copy gene,1
LOC4802552,CG14881,Single copy gene,1
LOC4802553,CG17565,Single copy gene,1
LOC4802554,CG31279,Single copy gene,1
LOC4802555,ss,Single copy gene,1
LOC4802556,CG10317,Single copy gene,1
LOC4802557,CG14880,Single copy gene,1
LOC4802559,CG10311,Single copy gene,1
LOC4802560,Manf,Single copy gene,1
LOC4802561,CG14879,Single copy gene,1
LOC4802562,pad,Single copy gene,1
LOC4802563,SF2,Single copy gene,1
LOC4802567,Sulf1,Single copy gene,1
LOC4802568,Zip89B,Single copy gene,1
LOC4802569,gish,Single copy gene,1
LOC4802570,Mat89Ba,Single copy gene,1
LOC4802571,Mst89B,Single copy gene,1
LOC4802572,asun,Single copy gene,1
LOC4802573,bor,Single copy gene,1
LOC4802574,CG31211,Single copy gene,1
LOC4802575,CG3281,Single copy gene,1
LOC4802576,aurA,Single copy gene,1
LOC4802577,CG12213,Single copy gene,1
LOC4802580,Tango9,Single copy gene,1
LOC4802581,CG10005,Single copy gene,1
LOC4802582,CG18547,Single copy gene,1
LOC4802585,mfas,Single copy gene,1
LOC4802586,Tk,Single copy gene,1
LOC4802587,Ect3,Single copy gene,1
LOC4802588,KLHL18,Single copy gene,1
LOC4802589,GCC185,Single copy gene,1
LOC4802590,DCAF12,Single copy gene,1
LOC4802591,Spt3,Single copy gene,1
LOC4802593,ssp5,Single copy gene,1
LOC4802595,CG14739,Single copy gene,1
LOC4802597,ATP8B,Single copy gene,1
LOC4802598,dpr17,Single copy gene,1
LOC4802599,CG4702,Single copy gene,1
LOC4802600,dpr15,Single copy gene,1
LOC4802603,CG3809,Single copy gene,1
LOC4802605,Cog1,Single copy gene,1
LOC4802606,CG4860,Single copy gene,1
LOC4802607,CG10014,Single copy gene,1
LOC4802608,CG12256,Single copy gene,1
LOC4802609,CG17404,Single copy gene,1
LOC4802610,CG3916,Single copy gene,1
LOC4802613,CG3942,Single copy gene,1
LOC4802615,svp,Single copy gene,1
LOC4802618,CG10038,Single copy gene,1
LOC4802619,CG10041,Single copy gene,1
LOC4802621,CG4115,Single copy gene,1
LOC4802622,CG11964,Single copy gene,1
LOC4802624,osk,Single copy gene,1
LOC4802625,pyd,Single copy gene,1
LOC4802627,CG8379,Single copy gene,1
LOC4802628,IscU,Single copy gene,1
LOC4802629,CG8369,Single copy gene,1
LOC4802631,beag,Single copy gene,1
LOC4802632,Ada,Single copy gene,1
LOC4802633,CG7963,Single copy gene,1
LOC4802637,CG45263,Single copy gene,1
LOC4802641,Or85d,Single copy gene,1
LOC4802642,CG11737,Single copy gene,1
LOC4802644,pch2,Single copy gene,1
LOC4802645,mRpS18A,Single copy gene,1
LOC4802646,CG31460,Single copy gene,1
LOC4802647,kra,Single copy gene,1
LOC4802648,Vha26,Single copy gene,1
LOC4802649,Tsp96F,Single copy gene,1
LOC4802650,CG5890,Single copy gene,1
LOC4802651,CG5886,Single copy gene,1
LOC4802652,CG14545,Single copy gene,1
LOC4802658,CG31380,Single copy gene,1
LOC4802659,CG4956,Single copy gene,1
LOC4802666,CLS,Single copy gene,1
LOC4802667,RpL27,Single copy gene,1
LOC4802668,CG5028,Single copy gene,1
LOC4802669,CG4743,Single copy gene,1
LOC4802672,RASSF8,Single copy gene,1
LOC4802673,Tnks,Single copy gene,1
LOC4802674,jigr1,Single copy gene,1
LOC4802675,CRMP,Single copy gene,1
LOC4802676,CG2926,Single copy gene,1
LOC4802677,Rev7,Single copy gene,1
LOC4802678,noi,Single copy gene,1
LOC4802679,alt,Single copy gene,1
LOC4802680,Mps1,Single copy gene,1
LOC4802681,CG7523,Single copy gene,1
LOC4802682,CG14322,Single copy gene,1
LOC4802683,CG14325,Single copy gene,1
LOC4802684,AttD,Single copy gene,1
LOC4802685,CG14323,Single copy gene,1
LOC4802689,sll,Single copy gene,1
LOC4802691,E2f1,Single copy gene,1
LOC4802694,DNApol-alpha180,Single copy gene,1
LOC4802695,CG31176,Single copy gene,1
LOC4802696,RnpS1,Single copy gene,1
LOC4802697,CG9386,Single copy gene,1
LOC4802698,CG8199,Single copy gene,1
LOC4802699,AP-1mu,Single copy gene,1
LOC4802700,MBD-like,Single copy gene,1
LOC4802701,CG9393,Single copy gene,1
LOC4802702,CG16790,Single copy gene,1
LOC4802704,Vps45,Single copy gene,1
LOC4802708,Son,Single copy gene,1
LOC4802709,CG8301,Single copy gene,1
LOC4802712,eIF3f1,Single copy gene,1
LOC4802713,Nep2,Single copy gene,1
LOC4802714,tacc,Single copy gene,1
LOC4802716,CG11035,Single copy gene,1
LOC4802717,unc-45,Single copy gene,1
LOC4802718,ImpE3,Single copy gene,1
LOC4802719,CG10903,Single copy gene,1
LOC4802720,CG2747,Single copy gene,1
LOC4802721,Pbp95,Single copy gene,1
LOC4802722,CG10435,Single copy gene,1
LOC4802723,CG3223,Single copy gene,1
LOC4802725,CG3744,Single copy gene,1
LOC4802726,D1,Single copy gene,1
LOC4802727,CG11997,Single copy gene,1
LOC4802729,CG31523,Single copy gene,1
LOC4802730,CG31522,Single copy gene,1
LOC4802731,CG14650,Single copy gene,1
LOC4802732,CG9804,Single copy gene,1
LOC4802733,CG1074,Single copy gene,1
LOC4802734,eIF3a,Single copy gene,1
LOC4802737,srl,Single copy gene,1
LOC4802738,CG32944,Single copy gene,1
LOC4802739,lost,Single copy gene,1
LOC4802740,CG14647,Single copy gene,1
LOC4802741,CG9853,Single copy gene,1
LOC4802743,CG14646,Single copy gene,1
LOC4802744,tub,Single copy gene,1
LOC4802745,Cont,Single copy gene,1
LOC4802748,hkb,Single copy gene,1
LOC4802749,CG1103,Single copy gene,1
LOC4802750,Skp2,Single copy gene,1
LOC4802751,CG14645,Single copy gene,1
LOC4802752,CG9776,Single copy gene,1
LOC4802753,CG9795,Single copy gene,1
LOC4802754,Syt14,Single copy gene,1
LOC4802755,Suv3,Single copy gene,1
LOC4802756,Vps24,Single copy gene,1
LOC4802757,MP1,Single copy gene,1
LOC4802758,cpx,Single copy gene,1
LOC4802759,Nepl11,Single copy gene,1
LOC4802760,CG9766,Single copy gene,1
LOC4802761,CG1092,Single copy gene,1
LOC4802762,Or82a,Single copy gene,1
LOC4802763,TwdlV,Single copy gene,1
LOC4802764,TwdlF,Single copy gene,1
LOC4802765,TwdlG,Single copy gene,1
LOC4802768,Gel,Single copy gene,1
LOC4802769,abs,Single copy gene,1
LOC4802770,CG14641,Single copy gene,1
LOC4802771,DhpD,Single copy gene,1
LOC4802772,aux,Single copy gene,1
LOC4802773,CG31516,Single copy gene,1
LOC4802774,CG14636,Single copy gene,1
LOC4802775,beta-Man,Single copy gene,1
LOC4802776,Dsk,Single copy gene,1
LOC4802777,CG12581,Single copy gene,1
LOC4802792,tara,Single copy gene,1
LOC4802794,Dnali1,Single copy gene,1
LOC4802795,CG31368,Single copy gene,1
LOC4802796,mthl5,Single copy gene,1
LOC4802797,CG6962,Single copy gene,1
LOC4802798,sad,Single copy gene,1
LOC4802799,CG6959,Single copy gene,1
LOC4802800,Kyat,Single copy gene,1
LOC4802801,COX5A,Single copy gene,1
LOC4802802,p23,Single copy gene,1
LOC4802803,nmdyn-D7,Single copy gene,1
LOC4802804,CG9444,Single copy gene,1
LOC4802807,CG5862,Single copy gene,1
LOC4802808,Smyd5,Single copy gene,1
LOC4802810,Snmp1,Single copy gene,1
LOC4802812,cDIP,Single copy gene,1
LOC4802813,meigo,Single copy gene,1
LOC4802814,CG5276,Single copy gene,1
LOC4802815,Exd2,Single copy gene,1
LOC4802816,CG5281,Single copy gene,1
LOC4802817,sals,Single copy gene,1
LOC4802818,PGRP-LB,Single copy gene,1
LOC4802820,dpr5,Single copy gene,1
LOC4802822,dpr4,Single copy gene,1
LOC4802823,CG10898,Single copy gene,1
LOC4802832,ClC-a,Single copy gene,1
LOC4802833,Sbf,Single copy gene,1
LOC4802834,HisCl1,Single copy gene,1
LOC4802835,prd1,Single copy gene,1
LOC4802836,l_3_neo38,Single copy gene,1
LOC4802837,Lk6,Single copy gene,1
LOC4802838,CG6923,Single copy gene,1
LOC4802839,CG14722,Single copy gene,1
LOC4802840,Blm,Single copy gene,1
LOC4802841,CG14721,Single copy gene,1
LOC4802842,CG12594,Single copy gene,1
LOC4802843,CG14720,Single copy gene,1
LOC4802844,CG14718,Single copy gene,1
LOC4802845,Fer3,Single copy gene,1
LOC4802846,CG18765,Single copy gene,1
LOC4802849,CG6908,Single copy gene,1
LOC4802850,Ho,Single copy gene,1
LOC4802851,Taf12,Single copy gene,1
LOC4802852,CG18476,Single copy gene,1
LOC4802853,CG7131,Single copy gene,1
LOC4802854,l_3_05822,Single copy gene,1
LOC4802860,TyrR,Single copy gene,1
LOC4802863,pasi1,Single copy gene,1
LOC4802864,CG7379,Single copy gene,1
LOC4802868,CG5342,Single copy gene,1
LOC4802870,mtSSB,Single copy gene,1
LOC4802871,CG31287,Single copy gene,1
LOC4802872,CG6126,Single copy gene,1
LOC4802873,sra,Single copy gene,1
LOC4802874,Bin1,Single copy gene,1
LOC4802875,CG8927,Single copy gene,1
LOC4802878,Fer2,Single copy gene,1
LOC4802879,CG5916,Single copy gene,1
LOC4802880,CG5903,Single copy gene,1
LOC4802881,Sb,Single copy gene,1
LOC4802882,Akt1,Single copy gene,1
LOC4802883,Mhcl,Single copy gene,1
LOC4802884,sxe2,Single copy gene,1
LOC4802886,CG10185,Single copy gene,1
LOC4802887,msps,Single copy gene,1
LOC4802888,CG5013,Single copy gene,1
LOC4802889,IKKbeta,Single copy gene,1
LOC4802890,CG10407,Single copy gene,1
LOC4802891,CG10264,Single copy gene,1
LOC4802892,pnr,Single copy gene,1
LOC4802893,GATAe,Single copy gene,1
LOC4802895,CG4210,Single copy gene,1
LOC4802896,SIDL,Single copy gene,1
LOC4802897,CG12241,Single copy gene,1
LOC4802898,Rpb7,Single copy gene,1
LOC4802901,CG4733,Single copy gene,1
LOC4802902,ninaE,Single copy gene,1
LOC4802903,Ask1,Single copy gene,1
LOC4802905,Arc42,Single copy gene,1
LOC4802907,CG17186,Single copy gene,1
LOC4802909,CG4572,Single copy gene,1
LOC4802910,CG11447,Single copy gene,1
LOC4802914,e_y_2b,Single copy gene,1
LOC4802917,CG10098,Single copy gene,1
LOC4802918,CG10068,Single copy gene,1
LOC4802919,CG31248,Single copy gene,1
LOC4802920,CG31493,Single copy gene,1
LOC4802923,CG2656,Single copy gene,1
LOC4802927,MAGE,Single copy gene,1
LOC4802929,CG10055,Single copy gene,1
LOC4802930,lap,Single copy gene,1
LOC4802931,CG14609,Single copy gene,1
LOC4802934,thw,Single copy gene,1
LOC4802935,CG14607,Single copy gene,1
LOC4802936,CG1234,Single copy gene,1
LOC4802937,CG10053,Single copy gene,1
LOC4802938,CG1227,Single copy gene,1
LOC4802939,CG10050,Single copy gene,1
LOC4802940,Obp84a,Single copy gene,1
LOC4802941,Gld,Single copy gene,1
LOC4802947,RacGAP84C,Single copy gene,1
LOC4802950,CG10029,Single copy gene,1
LOC4802951,CG31496,Single copy gene,1
LOC4802952,Ir84a,Single copy gene,1
LOC4802953,wa-cup,Single copy gene,1
LOC4802954,CG14598,Single copy gene,1
LOC4802958,Mics1,Single copy gene,1
LOC4802968,Nlg1,Single copy gene,1
LOC4802973,CG18747,Single copy gene,1
LOC4802974,CG3014,Single copy gene,1
LOC4802975,CG18744,Single copy gene,1
LOC4802978,CG2993,Single copy gene,1
LOC4802980,CG10086,Single copy gene,1
LOC4802981,CG2641,Single copy gene,1
LOC4802982,CG18268,Single copy gene,1
LOC4802984,CG31473,Single copy gene,1
LOC4802988,ArgRS-m,Single copy gene,1
LOC4802989,wtrw,Single copy gene,1
LOC4802990,mRpS9,Single copy gene,1
LOC4802991,EMC1,Single copy gene,1
LOC4802992,Taf7,Single copy gene,1
LOC4802994,CG2846,Single copy gene,1
LOC4802999,ouib,Single copy gene,1
LOC4803001,mRpL19,Single copy gene,1
LOC4803002,CG9773,Single copy gene,1
LOC4803003,hb,Single copy gene,1
LOC4803005,CG8112,Single copy gene,1
LOC4803006,Cks85A,Single copy gene,1
LOC4803007,TMEM216,Single copy gene,1
LOC4803011,CG9801,Single copy gene,1
LOC4803012,CG8223,Single copy gene,1
LOC4803013,CG11768,Single copy gene,1
LOC4803014,CG8236,Single copy gene,1
LOC4803015,CG13318,Single copy gene,1
LOC4803019,Ir85a,Single copy gene,1
LOC4803021,CCT7,Single copy gene,1
LOC4803022,CG9839,Single copy gene,1
LOC4803023,hng2,Single copy gene,1
LOC4803024,CG9837,Single copy gene,1
LOC4803026,Mst85C,Single copy gene,1
LOC4803027,Rel,Single copy gene,1
LOC4803028,Nmdmc,Single copy gene,1
LOC4803029,hyx,Single copy gene,1
LOC4803030,neur,Single copy gene,1
LOC4803031,tgo,Single copy gene,1
LOC4803032,Kcmf1,Single copy gene,1
LOC4803033,CG11986,Single copy gene,1
LOC4803034,CG11983,Single copy gene,1
LOC4803035,Iru,Single copy gene,1
LOC4803037,CG11980,Single copy gene,1
LOC4803038,CG31100,Single copy gene,1
LOC4803040,CG11975,Single copy gene,1
LOC4803041,E_var_3-9,Single copy gene,1
LOC4803042,CG11970,Single copy gene,1
LOC4803043,XNP,Single copy gene,1
LOC4803044,MED28,Single copy gene,1
LOC4803045,CG4553,Single copy gene,1
LOC4803046,Vps33B,Single copy gene,1
LOC4803047,CG31437,Single copy gene,1
LOC4803048,alrm,Single copy gene,1
LOC4803049,ND-49L,Single copy gene,1
LOC4803051,tobi,Single copy gene,1
LOC4803052,rha,Single copy gene,1
LOC4803053,CG4362,Single copy gene,1
LOC4803054,CG4367,Single copy gene,1
LOC4803056,cic,Single copy gene,1
LOC4803060,CG17199,Single copy gene,1
LOC4803061,CG5023,Single copy gene,1
LOC4803063,mdlc,Single copy gene,1
LOC4803065,CG17193,Single copy gene,1
LOC4803067,CG10889,Single copy gene,1
LOC4803068,CG4936,Single copy gene,1
LOC4803069,CG4854,Single copy gene,1
LOC4803070,trem,Single copy gene,1
LOC4803071,CG4424,Single copy gene,1
LOC4803072,psidin,Single copy gene,1
LOC4803073,PIG-L,Single copy gene,1
LOC4803076,CG17190,Single copy gene,1
LOC4803079,mira,Single copy gene,1
LOC4803080,CG4465,Single copy gene,1
LOC4803081,CG4459,Single copy gene,1
LOC4803082,CG4462,Single copy gene,1
LOC4803083,CG4770,Single copy gene,1
LOC4803084,Xport-A,Single copy gene,1
LOC4803086,RhoGAP92B,Single copy gene,1
LOC4803087,CG31344,Single copy gene,1
LOC4803089,Art3,Single copy gene,1
LOC4803090,mRpS10,Single copy gene,1
LOC4803091,tefu,Single copy gene,1
LOC4803093,Amt,Single copy gene,1
LOC4803096,Set,Single copy gene,1
LOC4803097,ATPsynO,Single copy gene,1
LOC4803098,CG14864,Single copy gene,1
LOC4803099,Zip88E,Single copy gene,1
LOC4803100,Cp190,Single copy gene,1
LOC4803101,CG4338,Single copy gene,1
LOC4803102,MRG15,Single copy gene,1
LOC4803103,l_3_neo43,Single copy gene,1
LOC4803105,Tm2,Single copy gene,1
LOC4803106,CG14866,Single copy gene,1
LOC4803108,ear,Single copy gene,1
LOC4803109,CG6236,Single copy gene,1
LOC4803112,SelR,Single copy gene,1
LOC4803114,Fdh,Single copy gene,1
LOC4803120,Leash,Single copy gene,1
LOC4803121,Adk3,Single copy gene,1
LOC4803122,CG6621,Single copy gene,1
LOC4803131,Ugt304A1,Single copy gene,1
LOC4803137,CG4757,Single copy gene,1
LOC4803138,CG18577,Single copy gene,1
LOC4803139,cu,Single copy gene,1
LOC4803140,SdhC,Single copy gene,1
LOC4803141,Tctp,Single copy gene,1
LOC4803144,CG4820,Single copy gene,1
LOC4803146,CG6693,Single copy gene,1
LOC4803147,RpL3,Single copy gene,1
LOC4803149,CG17726,Single copy gene,1
LOC4803150,GCC88,Single copy gene,1
LOC4803151,CG17187,Single copy gene,1
LOC4803152,CG14701,Single copy gene,1
LOC4803153,Arfip,Single copy gene,1
LOC4803154,CG17721,Single copy gene,1
LOC4803162,cpo,Single copy gene,1
LOC4803163,DNaseII,Single copy gene,1
LOC4803164,CG7785,Single copy gene,1
LOC4803165,CG7794,Single copy gene,1
LOC4803167,CG14317,Single copy gene,1
LOC4803171,CG7218,Single copy gene,1
LOC4803172,Cbp20,Single copy gene,1
LOC4803173,CG7215,Single copy gene,1
LOC4803175,cdm,Single copy gene,1
LOC4803177,Arp5,Single copy gene,1
LOC4803178,CG12321,Single copy gene,1
LOC4803179,MED17,Single copy gene,1
LOC4803180,CG14313,Single copy gene,1
LOC4803181,Ssdp,Single copy gene,1
LOC4803182,CG7985,Single copy gene,1
LOC4803183,CG14314,Single copy gene,1
LOC4803184,CG7183,Single copy gene,1
LOC4803185,CG7988,Single copy gene,1
LOC4803186,Ice2,Single copy gene,1
LOC4803187,CG7156,Single copy gene,1
LOC4803188,repo,Single copy gene,1
LOC4803189,Mdh2,Single copy gene,1
LOC4803190,CG7168,Single copy gene,1
LOC4803191,Non3,Single copy gene,1
LOC4803192,mTerf5,Single copy gene,1
LOC4803193,CG7009,Single copy gene,1
LOC4803194,Usp8,Single copy gene,1
LOC4803195,RpL24-like,Single copy gene,1
LOC4803196,Dtd,Single copy gene,1
LOC4803197,ninaG,Single copy gene,1
LOC4803199,Ranbp9,Single copy gene,1
LOC4803200,Irbp,Single copy gene,1
LOC4803201,mgr,Single copy gene,1
LOC4803202,mRpL40,Single copy gene,1
LOC4803203,pros,Single copy gene,1
LOC4803207,CG11825,Single copy gene,1
LOC4803208,Odj,Single copy gene,1
LOC4803213,Nup37,Single copy gene,1
LOC4803214,bam,Single copy gene,1
LOC4803215,CG11854,Single copy gene,1
LOC4803216,CG11852,Single copy gene,1
LOC4803220,Cad96Cb,Single copy gene,1
LOC4803221,Alg9,Single copy gene,1
LOC4803222,TfIIFbeta,Single copy gene,1
LOC4803226,CG14691,Single copy gene,1
LOC4803227,TkR86C,Single copy gene,1
LOC4803228,CG4073,Single copy gene,1
LOC4803232,CG31373,Single copy gene,1
LOC4803234,CG14684,Single copy gene,1
LOC4803236,pug,Single copy gene,1
LOC4803237,sqz,Single copy gene,1
LOC4803238,CG14282,Single copy gene,1
LOC4803239,CG5555,Single copy gene,1
LOC4803240,CG31475,Single copy gene,1
LOC4803241,cry,Single copy gene,1
LOC4803242,vib,Single copy gene,1
LOC4803243,CG11703,Single copy gene,1
LOC4803244,CG5250,Single copy gene,1
LOC4803245,Gdn1,Single copy gene,1
LOC4803246,unc79,Single copy gene,1
LOC4803247,CG5217,Single copy gene,1
LOC4803248,CG14280,Single copy gene,1
LOC4803249,Dl,Single copy gene,1
LOC4803253,CG31245,Single copy gene,1
LOC4803254,CG18493,Single copy gene,1
LOC4803255,CG3734,Single copy gene,1
LOC4803256,CG3739,Single copy gene,1
LOC4803257,CG11626,Single copy gene,1
LOC4803258,CG31244,Single copy gene,1
LOC4803260,CG3517,Single copy gene,1
LOC4803261,CG31221,Single copy gene,1
LOC4803263,CG15025,Single copy gene,1
LOC4803264,Dys,Single copy gene,1
LOC4803265,Cpr92A,Single copy gene,1
LOC4803272,subdued,Single copy gene,1
LOC4803273,Vha13,Single copy gene,1
LOC4803274,Nup58,Single copy gene,1
LOC4803275,CG6195,Single copy gene,1
LOC4803277,ort,Single copy gene,1
LOC4803278,CG7432,Single copy gene,1
LOC4803280,GluClalpha,Single copy gene,1
LOC4803285,bnl,Single copy gene,1
LOC4803286,CG4662,Single copy gene,1
LOC4803287,Ire1,Single copy gene,1
LOC4803288,Tailor,Single copy gene,1
LOC4803289,Dpck,Single copy gene,1
LOC4803291,CG1943,Single copy gene,1
LOC4803292,CG7044,Single copy gene,1
LOC4803294,HHEX,Single copy gene,1
LOC4803295,dmrt93B,Single copy gene,1
LOC4803296,r-l,Single copy gene,1
LOC4803297,AnxB9,Single copy gene,1
LOC4803298,Cortactin,Single copy gene,1
LOC4803299,Mvl,Single copy gene,1
LOC4803301,CG7079,Single copy gene,1
LOC4803303,CG31189,Single copy gene,1
LOC4803304,CG12278,Single copy gene,1
LOC4803308,CG17278,Single copy gene,1
LOC4803311,pxb,Single copy gene,1
LOC4803312,CG31446,Single copy gene,1
LOC4803313,CG5399,Single copy gene,1
LOC4803314,CG5404,Single copy gene,1
LOC4803315,CG31294,Single copy gene,1
LOC4803317,CG4520,Single copy gene,1
LOC4803318,CG5623,Single copy gene,1
LOC4803319,Ttc26,Single copy gene,1
LOC4803320,CG5614,Single copy gene,1
LOC4803321,CG13625,Single copy gene,1
LOC4803322,REPTOR,Single copy gene,1
LOC4803323,Esyt2,Single copy gene,1
LOC4803325,scaf,Single copy gene,1
LOC4803327,d4,Single copy gene,1
LOC4803328,IFT20,Single copy gene,1
LOC4803329,CG30440,Single copy gene,1
LOC4803330,CG10465,Single copy gene,1
LOC4803332,CG10395,Single copy gene,1
LOC4803333,kune,Single copy gene,1
LOC4803334,Cndp2,Single copy gene,1
LOC4803335,CG42319,Single copy gene,1
LOC4803340,Mp20,Single copy gene,1
LOC4803341,Dh31-R,Single copy gene,1
LOC4803342,GstE14,Single copy gene,1
LOC4803343,CG4734,Single copy gene,1
LOC4803344,CG17047,Single copy gene,1
LOC4803345,CG17048,Single copy gene,1
LOC4803347,CG10814,Single copy gene,1
LOC4803350,CG13748,Single copy gene,1
LOC4803351,CG8230,Single copy gene,1
LOC4803354,Tom7,Single copy gene,1
LOC4803355,CG8155,Single copy gene,1
LOC4803357,CG8152,Single copy gene,1
LOC4803358,ND-51L2,Single copy gene,1
LOC4803359,Trpm,Single copy gene,1
LOC4803365,Hex-C,Single copy gene,1
LOC4803366,CG8079,Single copy gene,1
LOC4803367,Lnpk,Single copy gene,1
LOC4803369,CG14752,Single copy gene,1
LOC4803371,CG42326,Single copy gene,1
LOC4803373,CCT5,Single copy gene,1
LOC4803376,Prp8,Single copy gene,1
LOC4803377,CG8407,Single copy gene,1
LOC4803378,CG8878,Single copy gene,1
